package,kind,symbol,source,status,destination_or_reason
middleware,func,AllowContentEncoding,content_encoding.go,compatible,goforge.dev/gpchi/middleware
middleware,func,AllowContentType,content_type.go,compatible,goforge.dev/gpchi/middleware
middleware,func,BasicAuth,basic_auth.go,compatible,goforge.dev/gpchi/middleware
middleware,func,CleanPath,clean_path.go,compatible,goforge.dev/gpchi/middleware
middleware,func,ClientIPFromHeader,client_ip.go,compatible,goforge.dev/gpchi/middleware
middleware,func,ClientIPFromRemoteAddr,client_ip.go,compatible,goforge.dev/gpchi/middleware
middleware,func,ClientIPFromXFF,client_ip.go,compatible,goforge.dev/gpchi/middleware
middleware,func,ClientIPFromXFFTrustedProxies,client_ip.go,compatible,goforge.dev/gpchi/middleware
middleware,func,Compress,compress.go,compatible,goforge.dev/gpchi/middleware
middleware,type,Compressor,compress.go,compatible,goforge.dev/gpchi/middleware
middleware,method,Compressor.Handler,compress.go,compatible,goforge.dev/gpchi/middleware
middleware,method,Compressor.SetEncoder,compress.go,compatible,goforge.dev/gpchi/middleware
middleware,func,ContentCharset,content_charset.go,compatible,goforge.dev/gpchi/middleware
middleware,type,DefaultLogFormatter,logger.go,compatible,goforge.dev/gpchi/middleware
middleware,method,DefaultLogFormatter.NewLogEntry,logger.go,compatible,goforge.dev/gpchi/middleware
middleware,var,DefaultLogger,logger.go,compatible,goforge.dev/gpchi/middleware
middleware,type,EncoderFunc,compress.go,compatible,goforge.dev/gpchi/middleware
middleware,func,GetClientIP,client_ip.go,compatible,goforge.dev/gpchi/middleware
middleware,func,GetClientIPAddr,client_ip.go,compatible,goforge.dev/gpchi/middleware
middleware,func,GetHead,get_head.go,compatible,goforge.dev/gpchi/middleware
middleware,func,GetLogEntry,logger.go,compatible,goforge.dev/gpchi/middleware
middleware,func,GetReqID,request_id.go,compatible,goforge.dev/gpchi/middleware
middleware,type,HeaderRoute,route_headers.go,compatible,goforge.dev/gpchi/middleware
middleware,method,HeaderRoute.IsMatch,route_headers.go,compatible,goforge.dev/gpchi/middleware
middleware,type,HeaderRouter,route_headers.go,compatible,goforge.dev/gpchi/middleware
middleware,method,HeaderRouter.Handler,route_headers.go,compatible,goforge.dev/gpchi/middleware
